run_id,started_at,finished_at,trigger,result,experiment_status,site_status,local_checks,public_http,notes
20260825T154947Z-32868199605,2026-08-25T15:49:47Z,2026-08-25T15:49:47Z,push,success,active,live,pass,200,"required files, CSV schemas, and public-source files passed; public status endpoint verified"
20260825T185623Z-32886685864,2026-08-25T18:56:23Z,2026-08-25T18:56:24Z,schedule,success,active,live,pass,200,"required files, CSV schemas, and public-source files passed; public status endpoint verified"
20260825T193600Z-32890470072,2026-08-25T19:36:00Z,2026-08-25T19:36:01Z,push,success,active,live,pass,200,"required mission, governance, work-item, CSV, and public-source files passed; public status endpoint verified"
20260826T004835Z-32916545607,2026-08-26T00:48:35Z,2026-08-26T00:48:35Z,push,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260826T005512Z-32916967089,2026-08-26T00:55:12Z,2026-08-26T00:55:12Z,push,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260826T015758Z-32920931982,2026-08-26T01:57:58Z,2026-08-26T01:57:58Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260826T070815Z-32941288473,2026-08-26T07:08:15Z,2026-08-26T07:08:15Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260826T131626Z-32973220444,2026-08-26T13:16:26Z,2026-08-26T13:16:27Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260826T200143Z-33008266824,2026-08-26T20:01:43Z,2026-08-26T20:01:43Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260827T094556Z-33060038102,2026-08-27T09:45:56Z,2026-08-27T09:45:56Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260827T221456Z-33121712213,2026-08-27T22:14:56Z,2026-08-27T22:14:56Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260828T112145Z-33166850985,2026-08-28T11:21:45Z,2026-08-28T11:21:45Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260828T221756Z-33216223874,2026-08-28T22:17:56Z,2026-08-28T22:17:56Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260829T070309Z-33239919313,2026-08-29T07:03:09Z,2026-08-29T07:03:09Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260829T164219Z-33263687784,2026-08-29T16:42:19Z,2026-08-29T16:42:19Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260829T205410Z-33274664490,2026-08-29T20:54:10Z,2026-08-29T20:54:10Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260830T052243Z-33294555876,2026-08-30T05:22:43Z,2026-08-30T05:22:43Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260830T115310Z-33310035537,2026-08-30T11:53:10Z,2026-08-30T11:53:10Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260830T163941Z-33323078971,2026-08-30T16:39:41Z,2026-08-30T16:39:41Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260830T210357Z-33335362987,2026-08-30T21:03:57Z,2026-08-30T21:03:57Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260831T053213Z-33360874372,2026-08-31T05:32:13Z,2026-08-31T05:32:13Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260831T134636Z-33398809495,2026-08-31T13:46:36Z,2026-08-31T13:46:37Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260831T224916Z-33447964875,2026-08-31T22:49:16Z,2026-08-31T22:49:16Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260901T050605Z-33472291943,2026-09-01T05:06:05Z,2026-09-01T05:06:06Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260901T113807Z-33503470073,2026-09-01T11:38:07Z,2026-09-01T11:38:08Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260901T163828Z-33532972502,2026-09-01T16:38:28Z,2026-09-01T16:38:28Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
20260901T210101Z-33558652464,2026-09-01T21:01:01Z,2026-09-01T21:01:01Z,schedule,success,active,live,pass,200,"required mission, governance, tracker, work-item, CSV, and public-source files passed; public status endpoint verified"
